go:345:0:Male:3434:file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg:18-:System.String[]
goso:1628:0:Male:1122:file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg:18-:System.String[]
mario:555:0:Male:54:file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg:18+:_Walks__
aaa:aaa:1:Male:122121:file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg:18-:_Walks__Cycles
albert,e1,1,Male,24343,file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg,18-,_Walks__
bowser,1111111111111111111111111,1,Female,2222222222222222222,file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg,18-,_Walks__
snake,mgs,40,Male,180.85,file:///C:/Users/tech-w100a/Desktop/20180117194441-GettyImages-896355786.jpg,18-,_Walks__
snakeeeee,go,1,Female,assa,file:///C:/Users/tech-w100a/Desktop/mypic.jpg,18-,_Walks__
mario,121212,1,Female,2323,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18+,_Walks__Cycles
m,23232,1,Female,23423232,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18+,_Walks__
m,23232,1,Male,8990890,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18+,___Cycles
m,23232,1,Female,67676,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18-,__Drives_
232323,76868,1,Male,876t8,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18-,__Drives_
dfdf,3r43r3,1,Male,cewfewdfew,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18+,__Drives_
gfsgdfgdwf,dfsdw,1,Male,dfdfde,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18+,__Drives_
qwdqwd,234232,1,Male,3434,file:///C:/Users/tech-w100a/Desktop/headshot.jpg.jpg,18+,__Drives_
